,,,,,
Course ID,Title,Section,Lecturer,Schedule,Language
MBAN-770DG,???????? ??? ???????? ?????¹???? ?????????,4,Tsirikas Athanasios,Dist. Learning,Greek
MBAN-779DE,Managing Diversity in Organizations,1,Tsirikas Athanasios,Dist. Learning,English
MBAN-779DG,?????????? ??? ???????????????? ?? ???????????,1,Tsirikas Athanasios,Dist. Learning,Greek
MBAN-779DG,?????????? ??? ???????????????? ?? ???????????,2,Tsirikas Athanasios,Dist. Learning,Greek
MBAN-779DG,?????????? ??? ???????????????? ?? ???????????,3,Tsirikas Athanasios,Dist. Learning,Greek
MBAN-799,Project Management,1,Tsirikas Athanasios,Fr 18:00-21:00,English
MBAN-799DE,Project Management,1,Tsirikas Athanasios,Dist. Learning,English
MBAN-799DG,?????????? ?????,1,Tsirikas Athanasios,Dist. Learning,Greek
MBAN-769DE,Employee Resourcing,1,Vassilopoulou Joana,Dist. Learning,English
MBAN-770DE,Thesis in HRM,2,Vassilopoulou Joana,Dist. Learning,English
MBAN-672DG,?????????¹????? ??? ???????? ?¹????????????? ??????????,3,Vlados C.,Dist. Learning,Greek
MBAN-788DG,?¹???????????????? ??? ???????? ?¹??????????,1,Vlados C.,Dist. Learning,Greek
MBAN-650DE,Strategic Marketing,1,Vrontis Demetris,Dist. Learning,English
MBAN-895A,Thesis I,1,Vrontis Demetris,Not Scheduled,English
PHD-806S,Thesis,11,Vrontis Demetris,Not Scheduled,English
BADM-486,Task-Based Internship,4,Yiapanas George,Not Scheduled,English
BADM-493,Final Year Project,3,Yiapanas George,Not Scheduled,English
SPRT-308,Sports PR and Marketing,1,Yiapanas George,We 15:00-18:00,English
MKTG-291,Marketing,4,Zervides G.,Th 18:00-21:00,English
MKTG-415,Neuromarketing,1,Zervides G.,Tu 18:00-21:00,English
MKTG-491,International Marketing,1,Zervides G.,We 18:00-21:00,English
