,,,,,
Course ID,Title,Section,Lecturer,Schedule,Language
ACCT-315,Auditing,1,Georgiou M.,Th 09:00-12:00,English
ACCT-360,Financial Reporting,1,Georgiou M.,Fr 09:00-12:00,English
ACCT-416,Advanced Auditing,1,Georgiou M.,Tu 15:00-18:00,English
ACCT-460,Advanced Financial Reporting,1,Georgiou M.,We 09:00-12:00,English
EDUB-110,???¹??????? ?????????,1,Georgiou M.,Mo 12:00-15:00,Greek
PSY-110,General Psychology I,1,Georgiou M.,Mo 09:00-12:00,English
PSY-110,General Psychology I,3,Georgiou M.,Tu 12:00-15:00,English
PSY-110DL,General Psychology I,1,Georgiou M.,Dist. Learning,English
PSY-220A,Child and Adolescent Development,1,Georgiou M.,Tu 09:00-12:00,English
PHD-806S,Thesis,3,Giaglis George,Not Scheduled,English
BLOC-511DL,Digital Currency,1,Giaglis G. & K.,Dist. Learning,English
BLOC-511DL,Digital Currency,2,Giaglis G. & K.,Dist. Learning,English
FIN-266DG,???????? ??? ?????????????????,1,Grose C.,Dist. Learning,Greek
FIN-266DL,Managerial Finance,1,Grose C.,Dist. Learning,English
FIN-366DL,Corporate Finance,1,Grose C.,Dist. Learning,English
FIN-441DL,Financial Analysis,1,Grose C.,Dist. Learning,English
BADM-486,Task-Based Internship,2,Hadjidakis Spyros,Not Scheduled,English
ECON-261,Principles of Microeconomics,1,Hadjidakis Spyros,Mo 13:30-15:00 ; We 13:30-15:00,English
ECON-262,Principles of Macroeconomics,1,Hadjidakis Spyros,Mo 12:00-13:30 ; We 12:00-13:30,English
ECON-262,Principles of Macroeconomics,2,Hadjidakis Spyros,Mo 15:00-16:30 ; We 15:00-16:30,English
ECON-262,Principles of Macroeconomics,3,Hadjidakis Spyros,We 18:00-21:00,English
MBAN-540DE,Foundations in Economics,1,Hadjidakis Spyros,Dist. Learning,English
MBAN-540DG,??????????,1,Hadjidakis Spyros,Dist. Learning,Greek
MBAN-620,Business Economics,1,Hadjidakis Spyros,Mo 18:00-21:00,English
MBAN-620DG,?????????? ??? ?¹??????????,1,Hadjidakis Spyros,Dist. Learning,Greek
MBAN-620DG,?????????? ??? ?¹??????????,2,Hadjidakis Spyros,Dist. Learning,Greek
ENTR-390,E-Business,1,Housard D.,Tu 18:00-21:00,English
ENTR-390,E-Business,2,Housard D.,We 18:00-21:00,English
